Date,Title,SPY_Close,VIX_Close,Sentiment,Sentiment_Label,SPY_Daily_Return,SPY_7D_Return,SPY_30D_Return,VIX_Daily_Change,VIX_7D_MA,VIX_30D_MA,Lag_1_SPY_Close,Lag_1_SPY_Daily_Return,Lag_1_SPY_7D_Return,Lag_1_SPY_30D_Return,Lag_1_VIX_Daily_Change,Lag_1_VIX_7D_MA,Lag_1_VIX_30D_MA,Lag_1_VIX_Close
2008-01-02,"JPMorgan Predicts 2008 Will Be ""Nothing But Net""",104.08490753173828,23.170000076293945,neutral,2,,,,,,,,,,,,,,
2008-01-03,"U.S. Stocks Higher After Economic Data, Monsanto Outlook",104.03466033935547,22.489999771118164,neutral,2,-0.0004827519529427837,,,-0.029348308283844715,,,104.08490753173828,,,,,,,23.170000076293945
2008-01-07,U.S. Stocks Climb As Hopes Increase For More Fed Moves,101.39897918701172,23.790000915527344,neutral,2,-0.0008489039013268584,,,-0.006265648086217879,,,101.4851303100586,-0.024506544462974622,,,0.06447313373482366,,,23.940000534057617
2008-01-09,How Investing in Intangibles -- Like Employee Satisfaction -- Translates into Financial Returns,100.81004333496094,24.1200008392334,neutral,2,0.01051013984152882,,,-0.05151393827060857,,,99.76153564453125,-0.01614852097732178,,,0.06893649964418613,,,25.43000030517578
2008-01-10,U.S. Stocks Zigzag Higher As Bernanke Speech Sinks In,101.47074127197266,23.450000762939453,neutral,2,0.00655389002082285,,,-0.02777777997437414,23.770000457763672,,100.81004333496094,0.01051013984152882,,,-0.05151393827060857,,,24.1200008392334
2008-01-22,It's a Black Monday as stock markets tank in every corner of the globe,93.87968444824219,31.010000228881836,fear,0,-0.010146861087101056,-0.07481030224647822,,0.14091243122527564,25.849999836512975,,94.84203338623047,-0.01026751706356388,-0.05920054938276931,,-0.04497536263081692,24.76999991280692,,27.18000030517578
2008-01-29,Former Connecticut hedge fund exec sues in son's drowning,97.60704803466797,27.31999969482422,neutral,2,0.004954645843564753,0.018587039462118815,,-0.01655871059939973,28.452857426234655,,97.12582397460938,0.01653634380800395,-0.012702239182048602,,-0.04470423798044054,28.615714481898717,,27.780000686645508
2008-01-30,Super Bowl Ideas That Can Score,96.88883209228516,27.6200008392334,neutral,2,-0.0073582385375257076,0.021581134787772793,,0.010981008336761189,28.515714645385742,,97.60704803466797,0.004954645843564753,0.018587039462118815,,-0.01655871059939973,28.452857426234655,,27.31999969482422
2008-02-01,New challenges at retooled Janus,100.2426986694336,24.020000457763672,neutral,2,0.016087877027717745,0.04273114859688132,,-0.08320611609521189,27.114286150251115,,98.6555404663086,0.01823438610902728,0.050872092787012324,,-0.0514120214752809,27.82857186453683,,26.200000762939453
2008-02-05,Satin PS3 to launch in Japan • The Register,96.32868194580078,28.239999771118164,neutral,2,-0.026773832087483407,0.008193311952000126,,0.08657175913100046,26.73857171194894,,98.97872161865234,-0.012609168224305467,0.020964521445911766,,0.08201495736099185,26.85857173374721,,25.989999771118164
2008-02-11,U.S. Stocks Drop As AIG Discloses Doubts About Portfolio,96.05574035644531,27.600000381469727,neutral,2,0.005110085989311397,-0.026352297068922614,,-0.01463762385083267,27.21285711015974,,95.5673828125,-0.006421034271083648,-0.013638819369052757,,0.012653665343475229,27.01285716465541,,28.010000228881836
2008-02-21,Piezo Driver generates its own high voltage.,96.8026123046875,25.1200008392334,neutral,2,-0.008313740251461477,0.007775401506153523,-0.029659961835260207,0.02950824721146006,25.268571581159318,26.35633347829183,97.61415100097656,0.002951516952095501,0.021417016227097685,-0.037326097524657875,-0.046502560647201596,25.622857230050222,26.366666793823242,24.399999618530273
2008-02-22,The Economic Drift,97.39872741699219,24.059999465942383,neutral,2,0.006158047785202347,0.004666897091857747,-0.033839048224927226,-0.04219750548875234,24.944285801478795,26.354333432515464,96.8026123046875,-0.008313740251461477,0.007775401506153523,-0.029659961835260207,0.02950824721146006,25.268571581159318,26.35633347829183,25.1200008392334
